loudness,tempo,time_signature,key,mode,duration,song_hotttnesss,year,,,,,
-11.197,92.198,4,1,0,218.93179,0.602119989905755,0,,,,,
-9.843,121.274,4,6,0,148.03546,nan,1969,,,,,
-9.689,100.07,1,8,1,177.47546,nan,0,,,,,
-9.013,119.293,4,0,1,233.40363,nan,1982,,,,,
-4.501,129.738,4,2,1,209.60608,0.60450073858882,2007,,,,,
-9.323,147.782,3,5,1,267.7024,nan,0,,,,,
-17.302,111.787,1,1,1,114.78159,nan,0,,,,,
-11.642,101.43,3,4,0,189.57016,nan,0,,,,,
-13.496,86.643,4,4,1,269.81832,0.26586104921065,1984,,,,,
-6.697,114.041,4,7,0,266.39628,nan,0,,,,,
-10.021,146.765,1,5,0,218.77506,0,0,,,,,
-7.545,117.975,4,7,1,245.21098,0.26586104921065,0,,,,,
-6.632,130.04,4,9,1,226.35057,0,0,,,,,
-7.75,137.334,1,10,0,191.84281,0,0,,,,,
-8.346,125.197,3,3,1,307.3824,nan,1986,,,,,
-8.576,119.826,4,7,1,491.12771,0.405115721691386,1987,,,,,
-16.11,127.756,5,8,1,228.5971,0.334706549069221,0,,,,,
-8.032,99.273,4,6,1,599.24853,nan,0,,,,,
-5.271,150.062,4,7,1,290.29832,0.68413619122949,2004,,,,,
-6.787,138.331,4,7,1,165.69424,0,0,,,,,
-15.221,86.186,3,1,1,151.84934,nan,0,,,,,
-8.514,110.382,1,11,1,220.78649,0,0,,,,,
-8.05,111.874,4,2,1,269.58322,0.313562114247934,0,,,,,
-4.264,166.862,4,7,1,207.77751,0.666527846229702,2004,,,,,
-12.332,137.522,4,10,1,124.86485,0.495293621292163,1985,,,,,
-5.908,164.672,1,7,1,225.09669,0.375984301500442,0,,,,,
-6.486,125.006,4,6,0,338.31138,nan,0,,,,,
-4.516,90.022,1,5,1,186.48771,nan,2005,,,,,
-9.616,127.025,4,8,1,168.25424,nan,1997,,,,,
-18.051,95.957,3,8,1,156.39465,0,1961,,,,,
-11.939,110.189,3,6,1,342.56934,0.41373983586011,1972,,,,,
-15.335,138.007,4,4,0,484.62322,0.377531644976702,0,,,,,
-10.922,130.1,1,10,1,164.80608,0.443291311905398,1964,,,,,
-9.983,160.839,1,4,1,133.32853,0,1992,,,,,
-7.762,41.993,1,7,1,173.66159,nan,0,,,,,
-9.512,189.646,3,9,1,313.12934,nan,1997,,,,,
-9.063,130.586,4,4,0,450.84689,0.593943075901947,0,,,,,
-8.879,128.292,4,8,0,303.09832,nan,0,,,,,
-17.699,90.932,3,3,1,128.83546,0.394394856100583,0,,,,,
-19.478,89.667,4,1,1,456.30649,0,0,,,,,
-7.469,115.061,4,7,1,198.73914,0.450992311636255,2007,,,,,
-2.022,115.887,4,2,1,95.68608,0.528782480942588,2003,,,,,
-10.358,139.333,1,9,0,271.49016,0.834492619890905,0,,,,,
-12.716,117.271,4,0,1,226.66404,0,0,,,,,
-15.663,102.428,4,3,1,190.48444,0.510119314033035,1995,,,,,
-6.944,89.984,4,2,1,277.78567,0.482137585065015,2004,,,,,
-7.805,116.721,4,1,1,248.78975,nan,1992,,,,,
-10.7,123.142,4,7,1,195.3171,nan,2002,,,,,
-10.93,141.919,4,0,1,175.72526,0.785892288388354,2006,,,,,
-9.493,95.596,4,10,0,217.23383,nan,1995,,,,,
-9.253,154.953,1,11,1,344.05832,0.561692411178952,1974,,,,,
-12.009,86.091,5,7,1,251.42812,0.434838090260856,2009,,,,,
-11.043,90.218,4,7,1,269.7922,0.405115721691386,1997,,,,,
-11.506,133.144,1,11,0,206.05342,nan,1977,,,,,
-14.179,205.317,4,2,1,190.04036,nan,0,,,,,
-8.531,180.149,4,9,1,241.162,0.767727748373397,1986,,,,,
